DATE,DGS2
01/09/2021,0.2
02/09/2021,0.2
03/09/2021,0.21
07/09/2021,0.22
08/09/2021,0.22
09/09/2021,0.23
10/09/2021,0.23
13/09/2021,0.21
14/09/2021,0.21
15/09/2021,0.21
16/09/2021,0.23
17/09/2021,0.23
20/09/2021,0.23
21/09/2021,0.22
22/09/2021,0.25
23/09/2021,0.27
24/09/2021,0.29
27/09/2021,0.31
28/09/2021,0.31
29/09/2021,0.3
30/09/2021,0.28
01/10/2021,0.27
04/10/2021,0.27
05/10/2021,0.28
06/10/2021,0.3
07/10/2021,0.32
08/10/2021,0.32
12/10/2021,0.35
13/10/2021,0.37
14/10/2021,0.36
15/10/2021,0.41
18/10/2021,0.44
19/10/2021,0.41
20/10/2021,0.4
21/10/2021,0.45
22/10/2021,0.48
25/10/2021,0.47
26/10/2021,0.47
27/10/2021,0.5
28/10/2021,0.5
29/10/2021,0.48
01/11/2021,0.5
02/11/2021,0.46
03/11/2021,0.47
04/11/2021,0.41
05/11/2021,0.39
08/11/2021,0.45
09/11/2021,0.41
10/11/2021,0.51
12/11/2021,0.53
15/11/2021,0.53
16/11/2021,0.54
17/11/2021,0.52
18/11/2021,0.52
19/11/2021,0.52
22/11/2021,0.63
23/11/2021,0.6
24/11/2021,0.64
26/11/2021,0.5
29/11/2021,0.51
30/11/2021,0.52
01/12/2021,0.56
02/12/2021,0.63
03/12/2021,0.6
06/12/2021,0.65
07/12/2021,0.7
08/12/2021,0.68
09/12/2021,0.7
10/12/2021,0.67
13/12/2021,0.66
14/12/2021,0.67
15/12/2021,0.69
16/12/2021,0.64
17/12/2021,0.66
20/12/2021,0.65
21/12/2021,0.7
22/12/2021,0.68
23/12/2021,0.71
27/12/2021,0.76
28/12/2021,0.74
29/12/2021,0.75
30/12/2021,0.73
31/12/2021,0.73
03/01/2022,0.78
04/01/2022,0.77
05/01/2022,0.83
06/01/2022,0.88
07/01/2022,0.87
10/01/2022,0.92
11/01/2022,0.9
12/01/2022,0.92
13/01/2022,0.91
14/01/2022,0.99
18/01/2022,1.06
19/01/2022,1.04
20/01/2022,1.08
21/01/2022,1.01
24/01/2022,0.99
25/01/2022,1.02
26/01/2022,1.13
27/01/2022,1.18
28/01/2022,1.15
31/01/2022,1.18
01/02/2022,1.18
02/02/2022,1.16
03/02/2022,1.19
04/02/2022,1.31
07/02/2022,1.3
08/02/2022,1.35
09/02/2022,1.36
10/02/2022,1.61
11/02/2022,1.5
14/02/2022,1.58
15/02/2022,1.58
16/02/2022,1.52
17/02/2022,1.49
18/02/2022,1.47
22/02/2022,1.56
23/02/2022,1.58
24/02/2022,1.54
25/02/2022,1.55
28/02/2022,1.44
01/03/2022,1.31
02/03/2022,1.5
03/03/2022,1.53
04/03/2022,1.5
07/03/2022,1.55
08/03/2022,1.63
09/03/2022,1.68
10/03/2022,1.72
11/03/2022,1.75
14/03/2022,1.87
15/03/2022,1.85
16/03/2022,1.95
17/03/2022,1.94
18/03/2022,1.97
21/03/2022,2.14
22/03/2022,2.18
23/03/2022,2.13
24/03/2022,2.13
25/03/2022,2.3
28/03/2022,2.35
29/03/2022,2.35
30/03/2022,2.31
31/03/2022,2.28
01/04/2022,2.44
04/04/2022,2.43
05/04/2022,2.51
06/04/2022,2.5
07/04/2022,2.47
08/04/2022,2.53
11/04/2022,2.5
12/04/2022,2.39
13/04/2022,2.37
14/04/2022,2.47
18/04/2022,2.46
19/04/2022,2.61
20/04/2022,2.6
21/04/2022,2.68
22/04/2022,2.72
25/04/2022,2.63
26/04/2022,2.54
27/04/2022,2.58
28/04/2022,2.63
29/04/2022,2.7
02/05/2022,2.73
03/05/2022,2.78
04/05/2022,2.66
05/05/2022,2.71
06/05/2022,2.72
09/05/2022,2.61
10/05/2022,2.62
11/05/2022,2.66
12/05/2022,2.56
13/05/2022,2.61
16/05/2022,2.58
17/05/2022,2.71
18/05/2022,2.68
19/05/2022,2.63
