Date,DXY_R
1/5/2016,0.005360564
1/6/2016,-0.0022133
1/7/2016,-0.009679361
1/8/2016,0.003257992
1/11/2016,0.001928171
1/12/2016,0.002430852
1/13/2016,-0.000404173
1/14/2016,0.001617265
1/15/2016,-0.001311908
1/18/2016,0.001616855
1/19/2016,-0.001311592
1/20/2016,0.001010183
1/21/2016,-0.000302735
1/22/2016,0.005148415
1/25/2016,-0.002109059
1/26/2016,0
1/27/2016,-0.00462962
1/28/2016,-0.003943377
1/29/2016,0.011166369
2/1/2016,-0.006123893
2/2/2016,-0.001313101
2/3/2016,-0.0159806
2/4/2016,-0.00842841
2/5/2016,0.005804893
2/8/2016,-0.004740792
2/9/2016,-0.005177591
2/10/2016,-0.001873644
2/11/2016,-0.003441454
2/12/2016,0.004395197
2/16/2016,0.009272765
2/17/2016,-0.00082587
2/18/2016,0.001653022
2/19/2016,-0.003610098
2/22/2016,0.008074524
2/23/2016,0.001026967
2/24/2016,-0.000205211
2/25/2016,-0.001744285
2/26/2016,0.008839562
2/29/2016,0.000611279
3/1/2016,0.001425507
3/2/2016,-0.001423477
3/3/2016,-0.006516638
3/4/2016,-0.002357323
3/7/2016,-0.002773742
3/8/2016,0.001442248
3/9/2016,-0.000411491
3/10/2016,-0.011320346
3/11/2016,0.001040887
3/14/2016,0.004679266
3/15/2016,0.000103436
3/16/2016,-0.007658057
3/17/2016,-0.011784305
3/18/2016,0.002427142
3/21/2016,0.003158259
3/22/2016,0.003777951
3/23/2016,0.004181924
3/24/2016,0.00093697
3/28/2016,-0.002080268
3/29/2016,-0.00813006
3/30/2016,-0.003362841
3/31/2016,-0.002636019
4/1/2016,0.000317232
4/4/2016,-0.001162555
4/5/2016,0.001269654
4/6/2016,-0.002113463
4/7/2016,0.000529525
4/8/2016,-0.002540273
4/11/2016,-0.00307726
4/12/2016,0.000106461
4/13/2016,0.008301394
4/14/2016,0.001688875
4/15/2016,-0.002107534
4/18/2016,-0.002217519
4/19/2016,-0.005397344
4/20/2016,0.005426633
4/21/2016,0.001164144
4/22/2016,0.005496882
4/25/2016,-0.002943724
4/26/2016,-0.002846858
4/27/2016,-0.001903363
4/28/2016,-0.006674404
4/29/2016,-0.00725256
5/2/2016,-0.004834605
5/3/2016,0.003346702
5/4/2016,0.00258229
5/5/2016,0.006439139
5/6/2016,0.001172958
5/9/2016,0.00276923
5/10/2016,0.001486978
5/11/2016,-0.004984632
5/12/2016,0.003410776
5/13/2016,0.004992586
5/16/2016,-0.000422799
5/17/2016,-0.000211452
5/18/2016,0.005605489
5/19/2016,0.002208656
5/20/2016,0.000209854
5/23/2016,-0.000839314
5/24/2016,0.003570272
5/25/2016,-0.002301999
5/26/2016,-0.001887782
5/27/2016,0.003677619
5/31/2016,0.003873555
6/1/2016,-0.004484305
6/2/2016,0.001047549
6/3/2016,-0.016010873
6/6/2016,-0.001382506
6/7/2016,-0.000745474
6/8/2016,-0.002557881
6/9/2016,0.005449322
6/10/2016,0.005313496
6/13/2016,-0.002431237
6/14/2016,0.005934057
6/15/2016,-0.003370894
6/16/2016,-0.000422799
6/17/2016,-0.003806715
6/20/2016,-0.00636873
6/21/2016,0.004379831
6/22/2016,-0.003190768
6/23/2016,-0.002027337
6/24/2016,0.020528152
6/27/2016,0.011419634
6/28/2016,-0.003003947
6/29/2016,-0.004987044
6/30/2016,0.003863444
7/1/2016,-0.005096703
7/5/2016,0.005436445
7/6/2016,-0.001143808
7/7/2016,0.002810785
7/8/2016,-0.000311419
7/11/2016,0.002803707
7/12/2016,-0.001346153
7/13/2016,-0.002281221
7/14/2016,-0.001454989
7/15/2016,0.005203997
7/18/2016,-0.000207124
7/19/2016,0.005074617
7/20/2016,0.001545533
7/21/2016,-0.002057582
7/22/2016,0.004845371
7/25/2016,-0.001846722
7/26/2016,-0.00133618
7/27/2016,-0.001132163
7/28/2016,-0.003194281
7/29/2016,-0.012507743
8/1/2016,0.001884225
8/2/2016,-0.006791359
8/3/2016,0.005259836
8/4/2016,0.002092968
8/5/2016,0.004490393
8/8/2016,0.002183179
8/9/2016,-0.002282178
8/10/2016,-0.00551048
8/11/2016,0.002195494
8/12/2016,-0.001460463
8/15/2016,-0.000940284
8/16/2016,-0.008783813
8/17/2016,-0.000738475
8/18/2016,-0.00591213
8/19/2016,0.003717056
8/22/2016,0.000105756
8/23/2016,0.000211638
8/24/2016,0.002644383
8/25/2016,-0.000211035
8/26/2016,0.008441522
8/29/2016,0.000104656
8/30/2016,0.004917357
8/31/2016,-0.0003124
9/1/2016,-0.003853312
9/2/2016,0.002404548
9/6/2016,-0.011055455
9/7/2016,0.001476471
9/8/2016,0.000737152
9/9/2016,0.003262096
9/12/2016,-0.002517286
9/13/2016,0.005573071
9/14/2016,-0.003137039
9/15/2016,-0.000419606
9/16/2016,0.00860531
9/19/2016,-0.002809333
9/20/2016,0.001878141
9/21/2016,-0.003749146
9/22/2016,-0.002195348
9/23/2016,0.000314364
9/26/2016,-0.00178053
9/27/2016,0.001364012
9/28/2016,-0.000104799
9/29/2016,0.001152688
9/30/2016,-0.000837367
10/3/2016,0.003037932
10/4/2016,0.003864261
10/5/2016,0.000103974
10/6/2016,0.00551344
10/7/2016,-0.001448448
10/11/2016,0.012225446
10/12/2016,0.002763603
10/13/2016,-0.004593284
10/14/2016,0.005127154
10/17/2016,-0.00132624
10/18/2016,0.000102186
10/19/2016,-0.000306425
10/20/2016,0.004597905
10/21/2016,0.0038649
10/24/2016,-0.000303941
10/25/2016,0.00050677
10/26/2016,-0.00091171
10/27/2016,0.002636135
10/28/2016,-0.005460623
10/31/2016,0.001016767
